"Region","Year","Age Range","Perception of Great Risk of Drug Use","Measure Type","Variable","Value"
"Northeast","2006-2008","12-17","Perceptions of Great Risk of Smoking Marijuana Once a Month","Percent","Perception of Great Risk of Drug Use",31.28
"Northeast","2006-2008","12-17","Perceptions of Great Risk of Smoking One or More Packs of Cigarettes per Day","Percent","Margins of Error",0.76
"Northeast","2006-2008","12-17","Perceptions of Great Risk of Smoking One or More Packs of Cigarettes per Day","Percent","Perception of Great Risk of Drug Use",70.98
"Northeast","2006-2008","18-25","Perceptions of Great Risk of Having Five or More Drinks of an Alcoholic Beverage Once or Twice a Week","Percent","Margins of Error",0.82
"Northeast","2006-2008","18-25","Perceptions of Great Risk of Having Five or More Drinks of an Alcoholic Beverage Once or Twice a Week","Percent","Perception of Great Risk of Drug Use",29.97
"Northeast","2006-2008","18-25","Perceptions of Great Risk of Smoking Marijuana Once a Month","Percent","Margins of Error",0.73
"Northeast","2006-2008","18-25","Perceptions of Great Risk of Smoking Marijuana Once a Month","Percent","Perception of Great Risk of Drug Use",20.41
"Northeast","2006-2008","18-25","Perceptions of Great Risk of Smoking One or More Packs of Cigarettes per Day","Percent","Margins of Error",0.77
"Northeast","2006-2008","18-25","Perceptions of Great Risk of Smoking One or More Packs of Cigarettes per Day","Percent","Perception of Great Risk of Drug Use",72.36
"Northeast","2006-2008","Over 17","Perceptions of Great Risk of Having Five or More Drinks of an Alcoholic Beverage Once or Twice a Week","Percent","Margins of Error",0.73
"Northeast","2006-2008","Over 17","Perceptions of Great Risk of Having Five or More Drinks of an Alcoholic Beverage Once or Twice a Week","Percent","Perception of Great Risk of Drug Use",39.87
"Northeast","2006-2008","Over 17","Perceptions of Great Risk of Smoking Marijuana Once a Month","Percent","Margins of Error",0.79
"Northeast","2006-2008","Over 17","Perceptions of Great Risk of Smoking Marijuana Once a Month","Percent","Perception of Great Risk of Drug Use",36.05
"Northeast","2006-2008","Over 17","Perceptions of Great Risk of Smoking One or More Packs of Cigarettes per Day","Percent","Margins of Error",0.65
"Northeast","2006-2008","Over 17","Perceptions of Great Risk of Smoking One or More Packs of Cigarettes per Day","Percent","Perception of Great Risk of Drug Use",76.47
"Northeast","2006-2008","Over 25","Perceptions of Great Risk of Having Five or More Drinks of an Alcoholic Beverage Once or Twice a Week","Percent","Margins of Error",0.84
"Northeast","2006-2008","Over 25","Perceptions of Great Risk of Having Five or More Drinks of an Alcoholic Beverage Once or Twice a Week","Percent","Perception of Great Risk of Drug Use",41.52
"Northeast","2006-2008","Over 25","Perceptions of Great Risk of Smoking Marijuana Once a Month","Percent","Margins of Error",0.9
"Northeast","2006-2008","Over 25","Perceptions of Great Risk of Smoking Marijuana Once a Month","Percent","Perception of Great Risk of Drug Use",38.65
"Northeast","2006-2008","Over 25","Perceptions of Great Risk of Smoking One or More Packs of Cigarettes per Day","Percent","Margins of Error",0.74
"Northeast","2006-2008","Over 25","Perceptions of Great Risk of Smoking One or More Packs of Cigarettes per Day","Percent","Perception of Great Risk of Drug Use",77.16
"Northeast","2008-2010","12-17","Perceptions of Great Risk of Having Five or More Drinks of an Alcoholic Beverage Once or Twice a Week","Percent","Margins of Error",0.84
"Northeast","2008-2010","12-17","Perceptions of Great Risk of Having Five or More Drinks of an Alcoholic Beverage Once or Twice a Week","Percent","Perception of Great Risk of Drug Use",38.15
"Northeast","2008-2010","12-17","Perceptions of Great Risk of Smoking Marijuana Once a Month","Percent","Margins of Error",0.81
"Northeast","2008-2010","12-17","Perceptions of Great Risk of Smoking Marijuana Once a Month","Percent","Perception of Great Risk of Drug Use",27.57
"Northeast","2008-2010","12-17","Perceptions of Great Risk of Smoking One or More Packs of Cigarettes per Day","Percent","Margins of Error",0.78
"Northeast","2008-2010","12-17","Perceptions of Great Risk of Smoking One or More Packs of Cigarettes per Day","Percent","Perception of Great Risk of Drug Use",69.44
"Northeast","2008-2010","18-25","Perceptions of Great Risk of Having Five or More Drinks of an Alcoholic Beverage Once or Twice a Week","Percent","Margins of Error",0.77
"Northeast","2008-2010","18-25","Perceptions of Great Risk of Having Five or More Drinks of an Alcoholic Beverage Once or Twice a Week","Percent","Perception of Great Risk of Drug Use",30.23
"Northeast","2008-2010","18-25","Perceptions of Great Risk of Smoking Marijuana Once a Month","Percent","Margins of Error",0.69
"Northeast","2008-2010","18-25","Perceptions of Great Risk of Smoking Marijuana Once a Month","Percent","Perception of Great Risk of Drug Use",16.83
"Northeast","2008-2010","18-25","Perceptions of Great Risk of Smoking One or More Packs of Cigarettes per Day","Percent","Margins of Error",0.83
"Northeast","2008-2010","18-25","Perceptions of Great Risk of Smoking One or More Packs of Cigarettes per Day","Percent","Perception of Great Risk of Drug Use",68.4
"Northeast","2008-2010","Over 17","Perceptions of Great Risk of Having Five or More Drinks of an Alcoholic Beverage Once or Twice a Week","Percent","Margins of Error",0.76
"Northeast","2008-2010","Over 17","Perceptions of Great Risk of Having Five or More Drinks of an Alcoholic Beverage Once or Twice a Week","Percent","Perception of Great Risk of Drug Use",40.01
"Northeast","2008-2010","Over 17","Perceptions of Great Risk of Smoking Marijuana Once a Month","Percent","Margins of Error",0.79
"Northeast","2008-2010","Over 17","Perceptions of Great Risk of Smoking Marijuana Once a Month","Percent","Perception of Great Risk of Drug Use",32.49
"Northeast","2008-2010","Over 17","Perceptions of Great Risk of Smoking One or More Packs of Cigarettes per Day","Percent","Margins of Error",0.72
"Northeast","2008-2010","Over 17","Perceptions of Great Risk of Smoking One or More Packs of Cigarettes per Day","Percent","Perception of Great Risk of Drug Use",74.73
"Northeast","2008-2010","Over 25","Perceptions of Great Risk of Having Five or More Drinks of an Alcoholic Beverage Once or Twice a Week","Percent","Margins of Error",0.88
"Northeast","2008-2010","Over 25","Perceptions of Great Risk of Having Five or More Drinks of an Alcoholic Beverage Once or Twice a Week","Percent","Perception of Great Risk of Drug Use",41.65
"Northeast","2008-2010","Over 25","Perceptions of Great Risk of Smoking Marijuana Once a Month","Percent","Margins of Error",0.91
"Northeast","2008-2010","Over 25","Perceptions of Great Risk of Smoking Marijuana Once a Month","Percent","Perception of Great Risk of Drug Use",35.12
"Northeast","2008-2010","Over 25","Perceptions of Great Risk of Smoking One or More Packs of Cigarettes per Day","Percent","Margins of Error",0.82
"Northeast","2008-2010","Over 25","Perceptions of Great Risk of Smoking One or More Packs of Cigarettes per Day","Percent","Perception of Great Risk of Drug Use",75.8
"Northeast","2010-2012","12-17","Perceptions of Great Risk of Having Five or More Drinks of an Alcoholic Beverage Once or Twice a Week","Percent","Margins of Error",0.86
"Northeast","2010-2012","12-17","Perceptions of Great Risk of Having Five or More Drinks of an Alcoholic Beverage Once or Twice a Week","Percent","Perception of Great Risk of Drug Use",39.03
"Northeast","2010-2012","12-17","Perceptions of Great Risk of Smoking Marijuana Once a Month","Percent","Margins of Error",0.79
"Northeast","2010-2012","12-17","Perceptions of Great Risk of Smoking Marijuana Once a Month","Percent","Perception of Great Risk of Drug Use",25.06
"Northeast","2010-2012","12-17","Perceptions of Great Risk of Smoking One or More Packs of Cigarettes per Day","Percent","Margins of Error",0.79
"Northeast","2010-2012","12-17","Perceptions of Great Risk of Smoking One or More Packs of Cigarettes per Day","Percent","Perception of Great Risk of Drug Use",67.33
"Northeast","2010-2012","18-25","Perceptions of Great Risk of Having Five or More Drinks of an Alcoholic Beverage Once or Twice a Week","Percent","Margins of Error",0.85
"Northeast","2010-2012","18-25","Perceptions of Great Risk of Having Five or More Drinks of an Alcoholic Beverage Once or Twice a Week","Percent","Perception of Great Risk of Drug Use",31.45
"Northeast","2010-2012","18-25","Perceptions of Great Risk of Smoking Marijuana Once a Month","Percent","Margins of Error",0.62
"Northeast","2010-2012","18-25","Perceptions of Great Risk of Smoking Marijuana Once a Month","Percent","Perception of Great Risk of Drug Use",15.27
"Northeast","2010-2012","18-25","Perceptions of Great Risk of Smoking One or More Packs of Cigarettes per Day","Percent","Margins of Error",0.81
"Northeast","2010-2012","18-25","Perceptions of Great Risk of Smoking One or More Packs of Cigarettes per Day","Percent","Perception of Great Risk of Drug Use",67.75
"Northeast","2010-2012","Over 17","Perceptions of Great Risk of Having Five or More Drinks of an Alcoholic Beverage Once or Twice a Week","Percent","Margins of Error",0.75
"Northeast","2010-2012","Over 17","Perceptions of Great Risk of Having Five or More Drinks of an Alcoholic Beverage Once or Twice a Week","Percent","Perception of Great Risk of Drug Use",41.06
"Northeast","2010-2012","Over 17","Perceptions of Great Risk of Smoking Marijuana Once a Month","Percent","Margins of Error",0.75
"Northeast","2010-2012","Over 17","Perceptions of Great Risk of Smoking Marijuana Once a Month","Percent","Perception of Great Risk of Drug Use",30.55
"Northeast","2010-2012","Over 17","Perceptions of Great Risk of Smoking One or More Packs of Cigarettes per Day","Percent","Margins of Error",0.65
"Northeast","2010-2012","Over 17","Perceptions of Great Risk of Smoking One or More Packs of Cigarettes per Day","Percent","Perception of Great Risk of Drug Use",74.8
"Northeast","2010-2012","Over 25","Perceptions of Great Risk of Having Five or More Drinks of an Alcoholic Beverage Once or Twice a Week","Percent","Margins of Error",0.85
"Northeast","2010-2012","Over 25","Perceptions of Great Risk of Having Five or More Drinks of an Alcoholic Beverage Once or Twice a Week","Percent","Perception of Great Risk of Drug Use",42.68
"Northeast","2010-2012","Over 25","Perceptions of Great Risk of Smoking Marijuana Once a Month","Percent","Margins of Error",0.85
"Northeast","2010-2012","Over 25","Perceptions of Great Risk of Smoking Marijuana Once a Month","Percent","Perception of Great Risk of Drug Use",33.15
"Northeast","2010-2012","Over 25","Perceptions of Great Risk of Smoking One or More Packs of Cigarettes per Day","Percent","Margins of Error",0.74
"Northeast","2010-2012","Over 25","Perceptions of Great Risk of Smoking One or More Packs of Cigarettes per Day","Percent","Perception of Great Risk of Drug Use",75.98
"Northeast","2012-2014","12-17","Perceptions of Great Risk of Having Five or More Drinks of an Alcoholic Beverage Once or Twice a Week","Percent","Margins of Error",0.86
"Northeast","2012-2014","12-17","Perceptions of Great Risk of Having Five or More Drinks of an Alcoholic Beverage Once or Twice a Week","Percent","Perception of Great Risk of Drug Use",38.23
"Northeast","2012-2014","12-17","Perceptions of Great Risk of Smoking Marijuana Once a Month","Percent","Margins of Error",0.76
"Northeast","2012-2014","12-17","Perceptions of Great Risk of Smoking Marijuana Once a Month","Percent","Perception of Great Risk of Drug Use",23.13
"Northeast","2012-2014","12-17","Perceptions of Great Risk of Smoking One or More Packs of Cigarettes per Day","Percent","Margins of Error",0.88
"Northeast","2012-2014","12-17","Perceptions of Great Risk of Smoking One or More Packs of Cigarettes per Day","Percent","Perception of Great Risk of Drug Use",66.18
"Northeast","2012-2014","18-25","Perceptions of Great Risk of Having Five or More Drinks of an Alcoholic Beverage Once or Twice a Week","Percent","Margins of Error",0.86
"Northeast","2012-2014","18-25","Perceptions of Great Risk of Having Five or More Drinks of an Alcoholic Beverage Once or Twice a Week","Percent","Perception of Great Risk of Drug Use",31.19
"Northeast","2012-2014","18-25","Perceptions of Great Risk of Smoking Marijuana Once a Month","Percent","Margins of Error",0.62
"Northeast","2012-2014","18-25","Perceptions of Great Risk of Smoking Marijuana Once a Month","Percent","Perception of Great Risk of Drug Use",12.48
"Northeast","2012-2014","18-25","Perceptions of Great Risk of Smoking One or More Packs of Cigarettes per Day","Percent","Margins of Error",0.82
"Northeast","2012-2014","18-25","Perceptions of Great Risk of Smoking One or More Packs of Cigarettes per Day","Percent","Perception of Great Risk of Drug Use",68.38
"Northeast","2012-2014","Over 17","Perceptions of Great Risk of Having Five or More Drinks of an Alcoholic Beverage Once or Twice a Week","Percent","Margins of Error",0.75
"Northeast","2012-2014","Over 17","Perceptions of Great Risk of Having Five or More Drinks of an Alcoholic Beverage Once or Twice a Week","Percent","Perception of Great Risk of Drug Use",39.8
"Northeast","2012-2014","Over 17","Perceptions of Great Risk of Smoking Marijuana Once a Month","Percent","Margins of Error",0.73
"Northeast","2012-2014","Over 17","Perceptions of Great Risk of Smoking Marijuana Once a Month","Percent","Perception of Great Risk of Drug Use",26.9
"Northeast","2012-2014","Over 17","Perceptions of Great Risk of Smoking One or More Packs of Cigarettes per Day","Percent","Margins of Error",0.6
"Northeast","2012-2014","Over 17","Perceptions of Great Risk of Smoking One or More Packs of Cigarettes per Day","Percent","Perception of Great Risk of Drug Use",74.1
"Northeast","2012-2014","Over 25","Perceptions of Great Risk of Having Five or More Drinks of an Alcoholic Beverage Once or Twice a Week","Percent","Margins of Error",0.86
"Northeast","2012-2014","Over 25","Perceptions of Great Risk of Having Five or More Drinks of an Alcoholic Beverage Once or Twice a Week","Percent","Perception of Great Risk of Drug Use",41.24
"Northeast","2012-2014","Over 25","Perceptions of Great Risk of Smoking Marijuana Once a Month","Percent","Margins of Error",0.83
"Northeast","2012-2014","Over 25","Perceptions of Great Risk of Smoking Marijuana Once a Month","Percent","Perception of Great Risk of Drug Use",29.32
"Northeast","2012-2014","Over 25","Perceptions of Great Risk of Smoking One or More Packs of Cigarettes per Day","Percent","Margins of Error",0.68
"Northeast","2012-2014","Over 25","Perceptions of Great Risk of Smoking One or More Packs of Cigarettes per Day","Percent","Perception of Great Risk of Drug Use",75.05
"Northwestern Region","2004-2006","12-17","Perceptions of Great Risk of Having Five or More Drinks of an Alcoholic Beverage Once or Twice a Week","Percent","Margins of Error",3.94
"Northwestern Region","2004-2006","12-17","Perceptions of Great Risk of Having Five or More Drinks of an Alcoholic Beverage Once or Twice a Week","Percent","Perception of Great Risk of Drug Use",32.1
"Northwestern Region","2004-2006","12-17","Perceptions of Great Risk of Smoking Marijuana Once a Month","Percent","Margins of Error",4.2
"Northwestern Region","2004-2006","12-17","Perceptions of Great Risk of Smoking Marijuana Once a Month","Percent","Perception of Great Risk of Drug Use",27.8
"Northwestern Region","2004-2006","12-17","Perceptions of Great Risk of Smoking One or More Packs of Cigarettes per Day","Percent","Margins of Error",3.83
"Northwestern Region","2004-2006","12-17","Perceptions of Great Risk of Smoking One or More Packs of Cigarettes per Day","Percent","Perception of Great Risk of Drug Use",70.42
"Northwestern Region","2004-2006","18-25","Perceptions of Great Risk of Having Five or More Drinks of an Alcoholic Beverage Once or Twice a Week","Percent","Margins of Error",4.18
"Northwestern Region","2004-2006","18-25","Perceptions of Great Risk of Having Five or More Drinks of an Alcoholic Beverage Once or Twice a Week","Percent","Perception of Great Risk of Drug Use",27.12
"Northwestern Region","2004-2006","18-25","Perceptions of Great Risk of Smoking Marijuana Once a Month","Percent","Margins of Error",4
"Northwestern Region","2004-2006","18-25","Perceptions of Great Risk of Smoking Marijuana Once a Month","Percent","Perception of Great Risk of Drug Use",20.88
"Northwestern Region","2004-2006","18-25","Perceptions of Great Risk of Smoking One or More Packs of Cigarettes per Day","Percent","Margins of Error",3.97
"Northwestern Region","2004-2006","18-25","Perceptions of Great Risk of Smoking One or More Packs of Cigarettes per Day","Percent","Perception of Great Risk of Drug Use",73.89
"Northwestern Region","2004-2006","Over 17","Perceptions of Great Risk of Having Five or More Drinks of an Alcoholic Beverage Once or Twice a Week","Percent","Margins of Error",4.23
"Northwestern Region","2004-2006","Over 17","Perceptions of Great Risk of Having Five or More Drinks of an Alcoholic Beverage Once or Twice a Week","Percent","Perception of Great Risk of Drug Use",36.56
"Northwestern Region","2004-2006","Over 17","Perceptions of Great Risk of Smoking Marijuana Once a Month","Percent","Margins of Error",4.49
"Northwestern Region","2004-2006","Over 17","Perceptions of Great Risk of Smoking Marijuana Once a Month","Percent","Perception of Great Risk of Drug Use",32.08
"Northwestern Region","2004-2006","Over 17","Perceptions of Great Risk of Smoking One or More Packs of Cigarettes per Day","Percent","Margins of Error",3.32
"Northwestern Region","2004-2006","Over 17","Perceptions of Great Risk of Smoking One or More Packs of Cigarettes per Day","Percent","Perception of Great Risk of Drug Use",76.41
"Northwestern Region","2004-2006","Over 25","Perceptions of Great Risk of Having Five or More Drinks of an Alcoholic Beverage Once or Twice a Week","Percent","Margins of Error",4.7
"Northwestern Region","2004-2006","Over 25","Perceptions of Great Risk of Having Five or More Drinks of an Alcoholic Beverage Once or Twice a Week","Percent","Perception of Great Risk of Drug Use",37.86
"Northwestern Region","2004-2006","Over 25","Perceptions of Great Risk of Smoking Marijuana Once a Month","Percent","Margins of Error",4.98
"Northwestern Region","2004-2006","Over 25","Perceptions of Great Risk of Smoking Marijuana Once a Month","Percent","Perception of Great Risk of Drug Use",33.63
"Northwestern Region","2004-2006","Over 25","Perceptions of Great Risk of Smoking One or More Packs of Cigarettes per Day","Percent","Margins of Error",3.65
"Northwestern Region","2004-2006","Over 25","Perceptions of Great Risk of Smoking One or More Packs of Cigarettes per Day","Percent","Perception of Great Risk of Drug Use",76.75
"Northwestern Region","2006-2008","12-17","Perceptions of Great Risk of Having Five or More Drinks of an Alcoholic Beverage Once or Twice a Week","Percent","Margins of Error",3.74
"Northwestern Region","2006-2008","12-17","Perceptions of Great Risk of Having Five or More Drinks of an Alcoholic Beverage Once or Twice a Week","Percent","Perception of Great Risk of Drug Use",34.33
"Northwestern Region","2006-2008","12-17","Perceptions of Great Risk of Smoking Marijuana Once a Month","Percent","Margins of Error",4.7
"Northwestern Region","2006-2008","12-17","Perceptions of Great Risk of Smoking Marijuana Once a Month","Percent","Perception of Great Risk of Drug Use",32.66
"Northwestern Region","2006-2008","12-17","Perceptions of Great Risk of Smoking One or More Packs of Cigarettes per Day","Percent","Margins of Error",3.49
"Northwestern Region","2006-2008","12-17","Perceptions of Great Risk of Smoking One or More Packs of Cigarettes per Day","Percent","Perception of Great Risk of Drug Use",72.88
"Northwestern Region","2006-2008","18-25","Perceptions of Great Risk of Having Five or More Drinks of an Alcoholic Beverage Once or Twice a Week","Percent","Margins of Error",4.49
"Northwestern Region","2006-2008","18-25","Perceptions of Great Risk of Having Five or More Drinks of an Alcoholic Beverage Once or Twice a Week","Percent","Perception of Great Risk of Drug Use",30.71
"Northwestern Region","2006-2008","18-25","Perceptions of Great Risk of Smoking Marijuana Once a Month","Percent","Margins of Error",4.08
"Northwestern Region","2006-2008","18-25","Perceptions of Great Risk of Smoking Marijuana Once a Month","Percent","Perception of Great Risk of Drug Use",23.5
"Northwestern Region","2006-2008","18-25","Perceptions of Great Risk of Smoking One or More Packs of Cigarettes per Day","Percent","Margins of Error",4.06
"Northwestern Region","2006-2008","18-25","Perceptions of Great Risk of Smoking One or More Packs of Cigarettes per Day","Percent","Perception of Great Risk of Drug Use",74.57
"Northwestern Region","2006-2008","Over 17","Perceptions of Great Risk of Having Five or More Drinks of an Alcoholic Beverage Once or Twice a Week","Percent","Margins of Error",3.56
"Northwestern Region","2006-2008","Over 17","Perceptions of Great Risk of Having Five or More Drinks of an Alcoholic Beverage Once or Twice a Week","Percent","Perception of Great Risk of Drug Use",38.23
"Northwestern Region","2006-2008","Over 17","Perceptions of Great Risk of Smoking Marijuana Once a Month","Percent","Margins of Error",4.31
"Northwestern Region","2006-2008","Over 17","Perceptions of Great Risk of Smoking Marijuana Once a Month","Percent","Perception of Great Risk of Drug Use",38.89
"Northwestern Region","2006-2008","Over 17","Perceptions of Great Risk of Smoking One or More Packs of Cigarettes per Day","Percent","Margins of Error",3.05
"Northwestern Region","2006-2008","Over 17","Perceptions of Great Risk of Smoking One or More Packs of Cigarettes per Day","Percent","Perception of Great Risk of Drug Use",78.03
"Northwestern Region","2006-2008","Over 25","Perceptions of Great Risk of Having Five or More Drinks of an Alcoholic Beverage Once or Twice a Week","Percent","Margins of Error",3.94
"Northwestern Region","2006-2008","Over 25","Perceptions of Great Risk of Having Five or More Drinks of an Alcoholic Beverage Once or Twice a Week","Percent","Perception of Great Risk of Drug Use",39.31
"Northwestern Region","2006-2008","Over 25","Perceptions of Great Risk of Smoking Marijuana Once a Month","Percent","Margins of Error",4.75
"Northwestern Region","2006-2008","Over 25","Perceptions of Great Risk of Smoking Marijuana Once a Month","Percent","Perception of Great Risk of Drug Use",41.09
"Northwestern Region","2006-2008","Over 25","Perceptions of Great Risk of Smoking One or More Packs of Cigarettes per Day","Percent","Margins of Error",3.36
"Northwestern Region","2006-2008","Over 25","Perceptions of Great Risk of Smoking One or More Packs of Cigarettes per Day","Percent","Perception of Great Risk of Drug Use",78.53
"Northwestern Region","2008-2010","12-17","Perceptions of Great Risk of Having Five or More Drinks of an Alcoholic Beverage Once or Twice a Week","Percent","Margins of Error",4.23
"Northwestern Region","2008-2010","12-17","Perceptions of Great Risk of Having Five or More Drinks of an Alcoholic Beverage Once or Twice a Week","Percent","Perception of Great Risk of Drug Use",37.43
"Northwestern Region","2008-2010","12-17","Perceptions of Great Risk of Smoking Marijuana Once a Month","Percent","Margins of Error",4.31
"Northwestern Region","2008-2010","12-17","Perceptions of Great Risk of Smoking Marijuana Once a Month","Percent","Perception of Great Risk of Drug Use",28.04
"Northwestern Region","2008-2010","12-17","Perceptions of Great Risk of Smoking One or More Packs of Cigarettes per Day","Percent","Margins of Error",3.92
"Northwestern Region","2008-2010","12-17","Perceptions of Great Risk of Smoking One or More Packs of Cigarettes per Day","Percent","Perception of Great Risk of Drug Use",69.68
"Northwestern Region","2008-2010","18-25","Perceptions of Great Risk of Having Five or More Drinks of an Alcoholic Beverage Once or Twice a Week","Percent","Margins of Error",3.93
"Northwestern Region","2008-2010","18-25","Perceptions of Great Risk of Having Five or More Drinks of an Alcoholic Beverage Once or Twice a Week","Percent","Perception of Great Risk of Drug Use",29.24
"Northwestern Region","2008-2010","18-25","Perceptions of Great Risk of Smoking Marijuana Once a Month","Percent","Margins of Error",3.57
"Northwestern Region","2008-2010","18-25","Perceptions of Great Risk of Smoking Marijuana Once a Month","Percent","Perception of Great Risk of Drug Use",16.96
"Northwestern Region","2008-2010","18-25","Perceptions of Great Risk of Smoking One or More Packs of Cigarettes per Day","Percent","Margins of Error",4.33
"Northwestern Region","2008-2010","18-25","Perceptions of Great Risk of Smoking One or More Packs of Cigarettes per Day","Percent","Perception of Great Risk of Drug Use",66.11
"Northwestern Region","2008-2010","Over 17","Perceptions of Great Risk of Having Five or More Drinks of an Alcoholic Beverage Once or Twice a Week","Percent","Margins of Error",4
"Northwestern Region","2008-2010","Over 17","Perceptions of Great Risk of Having Five or More Drinks of an Alcoholic Beverage Once or Twice a Week","Percent","Perception of Great Risk of Drug Use",41.31
"Northwestern Region","2008-2010","Over 17","Perceptions of Great Risk of Smoking Marijuana Once a Month","Percent","Margins of Error",4.39
"Northwestern Region","2008-2010","Over 17","Perceptions of Great Risk of Smoking Marijuana Once a Month","Percent","Perception of Great Risk of Drug Use",35.38
"Northwestern Region","2008-2010","Over 17","Perceptions of Great Risk of Smoking One or More Packs of Cigarettes per Day","Percent","Margins of Error",3.09
"Northwestern Region","2008-2010","Over 17","Perceptions of Great Risk of Smoking One or More Packs of Cigarettes per Day","Percent","Perception of Great Risk of Drug Use",74.83
"Northwestern Region","2008-2010","Over 25","Perceptions of Great Risk of Having Five or More Drinks of an Alcoholic Beverage Once or Twice a Week","Percent","Margins of Error",4.47
"Northwestern Region","2008-2010","Over 25","Perceptions of Great Risk of Having Five or More Drinks of an Alcoholic Beverage Once or Twice a Week","Percent","Perception of Great Risk of Drug Use",43.11
"Northwestern Region","2008-2010","Over 25","Perceptions of Great Risk of Smoking Marijuana Once a Month","Percent","Margins of Error",4.89
"Northwestern Region","2008-2010","Over 25","Perceptions of Great Risk of Smoking Marijuana Once a Month","Percent","Perception of Great Risk of Drug Use",38.12
"Northwestern Region","2008-2010","Over 25","Perceptions of Great Risk of Smoking One or More Packs of Cigarettes per Day","Percent","Margins of Error",3.44
"Northwestern Region","2008-2010","Over 25","Perceptions of Great Risk of Smoking One or More Packs of Cigarettes per Day","Percent","Perception of Great Risk of Drug Use",76.13
"Northwestern Region","2010-2012","12-17","Perceptions of Great Risk of Having Five or More Drinks of an Alcoholic Beverage Once or Twice a Week","Percent","Margins of Error",4.2
"Northwestern Region","2010-2012","12-17","Perceptions of Great Risk of Having Five or More Drinks of an Alcoholic Beverage Once or Twice a Week","Percent","Perception of Great Risk of Drug Use",37.65
"Northwestern Region","2010-2012","12-17","Perceptions of Great Risk of Smoking Marijuana Once a Month","Percent","Margins of Error",4.33
"Northwestern Region","2010-2012","12-17","Perceptions of Great Risk of Smoking Marijuana Once a Month","Percent","Perception of Great Risk of Drug Use",26.84
"Northwestern Region","2010-2012","12-17","Perceptions of Great Risk of Smoking One or More Packs of Cigarettes per Day","Percent","Margins of Error",3.83
"Northwestern Region","2010-2012","12-17","Perceptions of Great Risk of Smoking One or More Packs of Cigarettes per Day","Percent","Perception of Great Risk of Drug Use",70.51
"Northwestern Region","2010-2012","18-25","Perceptions of Great Risk of Having Five or More Drinks of an Alcoholic Beverage Once or Twice a Week","Percent","Margins of Error",4.43
"Northwestern Region","2010-2012","18-25","Perceptions of Great Risk of Having Five or More Drinks of an Alcoholic Beverage Once or Twice a Week","Percent","Perception of Great Risk of Drug Use",29.03
"Northwestern Region","2010-2012","18-25","Perceptions of Great Risk of Smoking Marijuana Once a Month","Percent","Margins of Error",3.4
"Northwestern Region","2010-2012","18-25","Perceptions of Great Risk of Smoking Marijuana Once a Month","Percent","Perception of Great Risk of Drug Use",14.69
"Northwestern Region","2010-2012","18-25","Perceptions of Great Risk of Smoking One or More Packs of Cigarettes per Day","Percent","Margins of Error",5.05
"Northwestern Region","2010-2012","18-25","Perceptions of Great Risk of Smoking One or More Packs of Cigarettes per Day","Percent","Perception of Great Risk of Drug Use",65.27
"Northwestern Region","2010-2012","Over 17","Perceptions of Great Risk of Having Five or More Drinks of an Alcoholic Beverage Once or Twice a Week","Percent","Margins of Error",4.15
"Northwestern Region","2010-2012","Over 17","Perceptions of Great Risk of Having Five or More Drinks of an Alcoholic Beverage Once or Twice a Week","Percent","Perception of Great Risk of Drug Use",43.5
"Northwestern Region","2010-2012","Over 17","Perceptions of Great Risk of Smoking Marijuana Once a Month","Percent","Margins of Error",4.38
"Northwestern Region","2010-2012","Over 17","Perceptions of Great Risk of Smoking Marijuana Once a Month","Percent","Perception of Great Risk of Drug Use",31.76
"Northwestern Region","2010-2012","Over 17","Perceptions of Great Risk of Smoking One or More Packs of Cigarettes per Day","Percent","Margins of Error",3.44
"Northwestern Region","2010-2012","Over 17","Perceptions of Great Risk of Smoking One or More Packs of Cigarettes per Day","Percent","Perception of Great Risk of Drug Use",76.23
"Northwestern Region","2010-2012","Over 25","Perceptions of Great Risk of Having Five or More Drinks of an Alcoholic Beverage Once or Twice a Week","Percent","Margins of Error",4.54
"Northwestern Region","2010-2012","Over 25","Perceptions of Great Risk of Having Five or More Drinks of an Alcoholic Beverage Once or Twice a Week","Percent","Perception of Great Risk of Drug Use",45.46
"Northwestern Region","2010-2012","Over 25","Perceptions of Great Risk of Smoking Marijuana Once a Month","Percent","Margins of Error",4.83
"Northwestern Region","2010-2012","Over 25","Perceptions of Great Risk of Smoking Marijuana Once a Month","Percent","Perception of Great Risk of Drug Use",34.09
"Northwestern Region","2010-2012","Over 25","Perceptions of Great Risk of Smoking One or More Packs of Cigarettes per Day","Percent","Margins of Error",3.71
"Northwestern Region","2010-2012","Over 25","Perceptions of Great Risk of Smoking One or More Packs of Cigarettes per Day","Percent","Perception of Great Risk of Drug Use",77.7
"Northwestern Region","2012-2014","12-17","Perceptions of Great Risk of Having Five or More Drinks of an Alcoholic Beverage Once or Twice a Week","Percent","Margins of Error",4.14
"Northwestern Region","2012-2014","12-17","Perceptions of Great Risk of Having Five or More Drinks of an Alcoholic Beverage Once or Twice a Week","Percent","Perception of Great Risk of Drug Use",37.88
"Northwestern Region","2012-2014","12-17","Perceptions of Great Risk of Smoking Marijuana Once a Month","Percent","Margins of Error",3.94
"Northwestern Region","2012-2014","12-17","Perceptions of Great Risk of Smoking Marijuana Once a Month","Percent","Perception of Great Risk of Drug Use",24.46
